HP Frac,Win U-Val,Roof R-Val,Wall R-Val,WWR,Heating (kWh),DHW (kWh),Cooling (kWh),TEDI (kWh/m2),EUI (kWh/m2)
0,0.3,30,6,0.35,189788.5256,258696.9875,47587.3424,24.73942848,111.04403
0,0.34,30,6,0.35,205061.5303,258696.9875,46243.56406,26.73030442,112.9031826
0,0.38,30,6,0.35,220069.4643,258696.9875,45020.89723,28.68662769,114.7437305
0,0.3,40,6,0.35,186782.2898,258696.9875,47594.01902,24.34755782,110.6401666
0,0.34,40,6,0.35,202090.3418,258696.9875,46249.43392,26.34300225,112.5034057
0,0.38,40,6,0.35,217105.5636,258696.9875,45022.8469,28.30027551,114.3440513
0,0.3,30,12,0.35,139586.593,258696.9875,48422.88352,18.19547585,104.4077785
0,0.34,30,12,0.35,154082.7297,258696.9875,46850.21177,20.08508501,106.1317864
0,0.38,30,12,0.35,168451.9959,258696.9875,45447.31412,21.95815628,107.8617039
0,0.3,40,12,0.35,136483.3974,258696.9875,48449.90084,17.79096623,103.9947949
0,0.34,40,12,0.35,150973.1847,258696.9875,46868.1652,19.67974772,105.7164866
0,0.38,40,12,0.35,165365.15,258696.9875,45457.36402,21.55577788,107.4478791
0,0.3,30,18,0.35,121547.5411,258696.9875,48984.76957,15.84403847,102.0578022
0,0.34,30,18,0.35,135522.1201,258696.9875,47300.43679,17.66566123,103.6971373
0,0.38,30,18,0.35,149465.7707,258696.9875,45795.9524,19.48325238,105.3568378
0,0.3,40,18,0.35,118458.7741,258696.9875,49014.50786,15.44140965,101.6474796
0,0.34,40,18,0.35,132404.7387,258696.9875,47323.22524,17.25930244,103.2819105
0,0.38,40,18,0.35,146340.5728,258696.9875,45809.06457,19.0758747,104.9391364
0,0.3,30,6,0.4,192166.2036,258696.9875,52109.2587,25.04936499,112.021177
0,0.34,30,6,0.4,209377.5499,258696.9875,50509.90579,27.2929088,114.1043071
0,0.38,30,6,0.4,226300.5881,258696.9875,49062.997,29.4988709,116.1707028
